startNodeId,endNodeId,type,decision_date,fine_amount
dpa_Information_Commissioner's_Office,decision_United Kingdom_18,DECIDED,2025-06-05 00:00:00+00:00,2310000.0
dpa_Information_Commissioner's_Office,decision_United Kingdom_20,DECIDED,,0.0
dpa_Information_Commissioner's_Office,decision_United Kingdom_16,DECIDED,2020-10-30 00:00:00+00:00,18400000.0
dpa_Information_Commissioner's_Office,decision_United Kingdom_17,DECIDED,2020-11-13 00:00:00+00:00,1250000.0
dpa_Information_Commissioner's_Office,decision_United Kingdom_21,DECIDED,2025-06-24 00:00:00+00:00,18000.0
dpa_Information_Commissioner's_Office,decision_United Kingdom_19,DECIDED,2021-05-17 00:00:00+00:00,90000.0
dpa_Information_Commissioner's_Office,decision_United Kingdom_26,DECIDED,2021-05-24 00:00:00+00:00,0.0
dpa_Information_Commissioner's_Office,decision_United Kingdom_25,DECIDED,,0.0
dpa_Information_Commissioner's_Office,decision_United Kingdom_23,DECIDED,2021-11-15 00:00:00+00:00,500000.0
dpa_Information_Commissioner's_Office,decision_United Kingdom_24,DECIDED,,0.0
dpa_Information_Commissioner's_Office,decision_United Kingdom_29,DECIDED,2024-05-02 00:00:00+00:00,130000.0
dpa_Information_Commissioner's_Office,decision_United Kingdom_27,DECIDED,,
dpa_Information_Commissioner's_Office,decision_United Kingdom_28,DECIDED,2025-04-14 00:00:00+00:00,60000.0
dpa_Information_Commissioner's_Office,decision_United Kingdom_22,DECIDED,,200000.0
dpa_Information_Commissioner's_Office,decision_United Kingdom_30,DECIDED,,0.0
dpa_Information_Commissioner's_Office,decision_United Kingdom_32,DECIDED,,0.0
dpa_Information_Commissioner's_Office,decision_United Kingdom_31,DECIDED,,0.0
dpa_NOT_DISCUSSED,decision_United Kingdom_36,DECIDED,,
dpa_Information_Commissioner's_Office,decision_United Kingdom_34,DECIDED,2021-10-18 00:00:00+00:00,10000.0
dpa_The_Information_Commissioner's_Office,decision_United Kingdom_37,DECIDED,,0.0
dpa_Information_Commissioner's_Office,decision_United Kingdom_35,DECIDED,,0.0
dpa_Information_Commissioner's_Office,decision_United Kingdom_39,DECIDED,,0.0
dpa_Information_Commissioner's_Office,decision_United Kingdom_45,DECIDED,,0.0
dpa_Information_Commissioner's_Office,decision_United Kingdom_40,DECIDED,,145000.0
dpa_The_Information_Commissioner,decision_United Kingdom_43,DECIDED,,0.0
dpa_Information_Commissioner's_Office,decision_United Kingdom_44,DECIDED,2022-10-04 00:00:00+00:00,1350000.0
dpa_Information_Commissioner's_Office,decision_United Kingdom_41,DECIDED,2021-07-05 00:00:00+00:00,25000.0
dpa_Information_Commissioner's_Office,decision_United Kingdom_46,DECIDED,,0.0
dpa_The_Information_Commissioner,decision_United Kingdom_48,DECIDED,,0.0
dpa_Information_Commissioner's_Office,decision_United Kingdom_53,DECIDED,,
dpa_Information_Commissioner's_Office,decision_United Kingdom_52,DECIDED,,75000.0
dpa_Information_Commissioner's_Office,decision_United Kingdom_51,DECIDED,,
dpa_Information_Commissioner's_Office,decision_United Kingdom_47,DECIDED,,
dpa_The_Information_Commissioner,decision_United Kingdom_49,DECIDED,,0.0
dpa_Information_Commissioner's_Office,decision_United Kingdom_50,DECIDED,,0.0
dpa_UNCLEAR,decision_United Kingdom_54,DECIDED,,0.0
dpa_Information_Commissioner's_Office,decision_United Kingdom_55,DECIDED,,0.0
dpa_Information_Commissioner's_Office,decision_United Kingdom_59,DECIDED,2022-02-14 00:00:00+00:00,50000.0
dpa_Information_Commissioner's_Office,decision_United Kingdom_56,DECIDED,,85000.0
dpa_Information_Commissioner's_Office,decision_United Kingdom_60,DECIDED,2022-02-28 00:00:00+00:00,98000.0
dpa_Information_Commissioner's_Office,decision_United Kingdom_57,DECIDED,2024-03-06 00:00:00+00:00,7500.0
dpa_NOT_DISCUSSED,decision_United Kingdom_63,DECIDED,,
dpa_Information_Commissioner's_Office,decision_United Kingdom_62,DECIDED,2021-09-13 00:00:00+00:00,200000.0
dpa_Swedish_Data_Protection_Authority,decision_Sweden_2,DECIDED,2020-12-02 00:00:00+00:00,4000000.0
dpa_Datainspektionen,decision_Sweden_3,DECIDED,2020-12-02 00:00:00+00:00,3500000.0
dpa_Datainspektionen,decision_Sweden_4,DECIDED,2020-12-02 00:00:00+00:00,2500000.0
dpa_Datainspektionen,decision_Sweden_1,DECIDED,2020-03-10 00:00:00+00:00,75000000.0
dpa_Datainspektionen,decision_Sweden_5,DECIDED,,
dpa_Datainspektionen,decision_Sweden_7,DECIDED,2020-11-23 00:00:00+00:00,4000000.0
dpa_Datainspektionen,decision_Sweden_6,DECIDED,,
dpa_The_Data_Inspectorate,decision_Sweden_9,DECIDED,2020-12-10 00:00:00+00:00,550000.0
dpa_The_Data_Inspectorate,decision_Sweden_10,DECIDED,,120000.0
dpa_Datainspektionen,decision_Sweden_11,DECIDED,,300000.0
dpa_Integritetsskyddsmyndigheten_(IMY),decision_Sweden_12,DECIDED,2023-01-19 00:00:00+00:00,0.0
dpa_Integritetsskyddsmyndigheten_(IMY),decision_Sweden_14,DECIDED,2024-12-11 00:00:00+00:00,200000.0
dpa_Integritetsskyddsmyndigheten_(IMY),decision_Sweden_15,DECIDED,2025-04-28 00:00:00+00:00,0.0
dpa_Integritetsskyddsmyndigheten,decision_Sweden_18,DECIDED,2021-06-09 00:00:00+00:00,350000.0
dpa_Integritetsskyddsmyndigheten_(IMY),decision_Sweden_13,DECIDED,,0.0
dpa_Swedish_Authority_for_Privacy_Protection,decision_Sweden_16,DECIDED,2024-12-19 00:00:00+00:00,0.0
dpa_Integritetsskyddsmyndigheten_(IMY),decision_Sweden_20,DECIDED,2022-03-28 00:00:00+00:00,7500000.0
dpa_Integritetsskyddsmyndigheten_(IMY),decision_Sweden_21,DECIDED,,0.0
dpa_Integritetsskyddsmyndigheten_(IMY),decision_Sweden_22,DECIDED,2023-06-12 00:00:00+00:00,58000000.0
dpa_Integrity_Protection_Authority,decision_Sweden_23,DECIDED,2022-01-26 00:00:00+00:00,300000.0
dpa_Integritetsskyddsmyndigheten,decision_Sweden_26,DECIDED,2021-03-31 00:00:00+00:00,0.0
dpa_Integritetsskyddsmyndigheten_(IMY),decision_Sweden_24,DECIDED,2023-06-26 00:00:00+00:00,13000000.0
dpa_Integrity_Protection_Authority,decision_Sweden_27,DECIDED,2021-01-22 00:00:00+00:00,0.0
dpa_Integritetsskyddsmyndigheten,decision_Sweden_30,DECIDED,2023-03-31 00:00:00+00:00,0.0
dpa_Integritetsskyddsmyndigheten,decision_Sweden_31,DECIDED,2021-03-23 00:00:00+00:00,0.0
dpa_The_Swedish_Privacy_Protection_Agency_(IMY),decision_Sweden_33,DECIDED,2023-06-30 00:00:00+00:00,0.0
dpa_Swedish_Authority_for_Privacy_Protection,decision_Sweden_29,DECIDED,,0.0
dpa_Swedish_Authority_for_Privacy_Protection,decision_Sweden_32,DECIDED,,
dpa_Integritetsskyddsmyndigheten_(IMY),decision_Sweden_36,DECIDED,2023-06-30 00:00:00+00:00,300000.0
dpa_Integritetsskyddsmyndigheten_(IMY),decision_Sweden_34,DECIDED,2023-06-30 00:00:00+00:00,0.0
dpa_Integritetsskyddsmyndigheten_(IMY),decision_Sweden_35,DECIDED,2023-06-30 00:00:00+00:00,12000000.0
dpa_Integritetsskyddsmyndigheten,decision_Sweden_37,DECIDED,2023-08-28 00:00:00+00:00,35000000.0
dpa_Swedish_Authority_for_Privacy_Protection_(IMY),decision_Sweden_38,DECIDED,2022-10-10 00:00:00+00:00,0.0
dpa_Swedish_Authority_for_Privacy_Protection_(IMY),decision_Sweden_40,DECIDED,,0.0
dpa_Swedish_Authority_for_Privacy_Protection_(IMY),decision_Sweden_41,DECIDED,2022-03-29 00:00:00+00:00,0.0
dpa_Integritetsskyddsmyndigheten_(IMY),decision_Sweden_39,DECIDED,,500000.0
dpa_Swedish_Authority_for_Privacy_Protection_(IMY),decision_Sweden_44,DECIDED,,0.0
dpa_Integritetsskyddsmyndigheten_(IMY),decision_Sweden_42,DECIDED,,15000000.0
dpa_Integrity_Protection_Authority,decision_Sweden_43,DECIDED,,
dpa_Swedish_Authority_for_Privacy_Protection_(IMY),decision_Sweden_45,DECIDED,,
dpa_Swedish_Authority_for_Privacy_Protection_(IMY),decision_Sweden_47,DECIDED,2022-03-18 00:00:00+00:00,0.0
dpa_Integritetsskyddsmyndigheten_(IMY),decision_Sweden_48,DECIDED,2022-07-26 00:00:00+00:00,0.0
dpa_Integritetsskyddsmyndigheten_(IMY),decision_Sweden_49,DECIDED,,
